Categorias de Trabalhadores
GRUPO|CÓDIGO|<DESCRIÇÃO|INÍCIO|TÉRMINO
Empregado e Trabalhador Temporário|101|Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT|01/01/2014|-
^|102|Empregado - Trabalhador rural por pequeno prazo da Lei 11.718/2008|01/01/2014|-
^|103|Empregado - Aprendiz|01/01/2014|-
^|104|Empregado - Doméstico|01/01/2014|-
^|105|Empregado - Contrato a termo firmado nos termos da Lei 9.601/1998|01/01/2014|-
^|106|Trabalhador temporário - Contrato nos termos da Lei 6.019/1974|01/01/2014|-
^|107|Empregado - Contrato de trabalho Verde e Amarelo - sem acordo para antecipação mensal da multa rescisória do FGTS|01/01/2020|31/12/2022
^|108|Empregado - Contrato de trabalho Verde e Amarelo - com acordo para antecipação mensal da multa rescisória do FGTS|01/01/2020|31/12/2022
^|111|Empregado - Contrato de trabalho intermitente|01/01/2014|-
Avulso|201|Trabalhador avulso portuário|01/01/2014|-
^|202|Trabalhador avulso não portuário|01/01/2014|-
Agente Público|301|Servidor público titular de cargo efetivo, magistrado, ministro de Tribunal de Contas, conselheiro de Tribunal de Contas e membro do Ministério Público|01/01/2014|-
^|302|Servidor público ocupante de cargo exclusivo em comissão|01/01/2014|-
^|303|Exercente de mandato eletivo|01/01/2014|-
^|304|Servidor público exercente de mandato eletivo, inclusive com exercício de cargo em comissão|01/01/2014|-
^|305|Servidor público indicado para conselho ou órgão deliberativo, na condição de representante do governo, órgão ou entidade da administração pública|01/01/2014|-
^|306|Servidor público contratado por tempo determinado, sujeito a regime administrativo especial definido em lei própria|01/01/2014|-
^|307|Militar dos Estados e Distrito Federal|01/01/2014|-
^|308|Conscrito|01/01/2014|25/04/2023
^|309|Agente público - Outros|01/01/2014|-
^|310|Servidor público eventual|01/01/2014|-
^|311|Ministros, juízes, procuradores, promotores ou oficiais de justiça à disposição da Justiça Eleitoral|01/01/2014|-
^|312|Auxiliar local|01/01/2014|-
^|313|Servidor público exercente de atividade de instrutoria, capacitação, treinamento, curso ou concurso, ou convocado para pareceres técnicos ou depoimentos|01/01/2014|-
^|314|Militar das Forças Armadas|01/01/2014|-
Cessão|401|Dirigente sindical - Informação prestada pelo sindicato|01/01/2014|-
^|410|Trabalhador cedido/exercício em outro órgão/juiz auxiliar - Informação prestada pelo cessionário/destino|01/01/2014|-
Segurado Especial|501|Dirigente sindical - Segurado especial|01/01/2014|-
Contribuinte Individual|701|Contribuinte individual - Autônomo em geral, exceto se enquadrado em uma das demais categorias de contribuinte individual|01/01/2014|-
^|711|Contribuinte individual - Transportador autônomo de passageiros|01/01/2014|-
^|712|Contribuinte individual - Transportador autônomo de carga|01/01/2014|-
^|721|Contribuinte individual - Diretor não empregado, com FGTS|01/01/2014|-
^|722|Contribuinte individual - Diretor não empregado, sem FGTS|01/01/2014|-
^|723|Contribuinte individual - Empresário, sócio e membro de conselho de administração ou fiscal|01/01/2014|-
^|731|Contribuinte individual - Cooperado que presta serviços por intermédio de cooperativa de trabalho|01/01/2014|-
^|734|Contribuinte individual - Transportador cooperado que presta serviços por intermédio de cooperativa de trabalho|01/01/2014|-
^|738|Contribuinte individual - Cooperado filiado a cooperativa de produção|01/01/2014|-
^|741|Contribuinte individual - Microempreendedor individual|01/01/2014|-
^|751|Contribuinte individual - Magistrado classista temporário da Justiça do Trabalho ou da Justiça Eleitoral que seja aposentado de qualquer regime previdenciário|01/01/2014|-
^|761|Contribuinte individual - Associado eleito para direção de cooperativa, associação ou entidade de classe de qualquer natureza ou finalidade, bem como o síndico ou administrador eleito para exercer atividade de direção condominial, desde que recebam remuneração|01/01/2014|-
^|771|Contribuinte individual - Membro de conselho tutelar, nos termos da Lei 8.069/1990|01/01/2014|-
^|781|Ministro de confissão religiosa ou membro de vida consagrada, de congregação ou de ordem religiosa|01/01/2014|-
Bolsista|901|Estagiário|01/01/2014|-
^|902|Médico residente ou residente em área profissional de saúde|01/01/2014|-
^|903|Bolsista|01/01/2014|-
^|904|Participante de curso de formação, como etapa de concurso público, sem vínculo de emprego/estatutário|01/01/2014|-
^|906|Beneficiário do Programa Nacional de Prestação de Serviço Civil Voluntário|28/01/2022|-
