Natureza das Rubricas da Folha de Pagamento
Cód.|Nome da Natureza da Rubrica|Descrição da Natureza da Rubrica|Início|Término
1000|Salário, vencimento, soldo|Corresponde ao salário básico contratual do empregado contratado de acordo com a CLT e o vencimento mensal do servidor público e do militar|01/01/2014|-
1001|Subsídio|Corresponde à remuneração paga na forma de subsídio|01/09/2020|-
1002|Descanso semanal remunerado - DSR|Valor correspondente a um dia de trabalho incidente sobre as verbas de natureza variável, tais como: horas extras, adicional noturno, produção, comissão, etc.|01/01/2014|-
1003|Horas extraordinárias|Valor correspondente à hora extraordinária de trabalho, acrescido de percentual de no mínimo 50%|01/01/2014|-
1004|Horas extraordinárias - Indenização de banco de horas|Valor correspondente a pagamento das horas extraordinárias, inicialmente destinadas para o banco de horas e que não foram compensadas|01/01/2014|-
1005|Direito de arena|Valores relativos a direito de arena decorrente do espetáculo, devidos ao atleta|01/01/2014|-
1006|Intervalos intra e inter jornadas não concedidos|Valores relativos a intervalos não concedidos de intrajornada ou interjornada|01/01/2014|-
1007|Luvas e premiações|Valores correspondentes a prêmios e luvas, devidos ao atleta|01/01/2014|-
1009|Salário-família - complemento|Valor excedente ao do fixado pela previdência social para o salário-família|01/01/2014|-
1010|Salário in natura - pagos em bens ou serviços|Salário in natura, também conhecido por salário utilidade, correspondente a remunerações pagas em bens ou serviços|01/01/2014|-
1011|Sobreaviso e prontidão|Valor correspondente a um percentual da hora normal de trabalho|01/01/2014|-
1020|Férias|Valor correspondente à remuneração a que faz jus na época da concessão das férias e o adicional constitucional a que o trabalhador adquiriu direito, inclusive o adiantamento de férias, quando pagas antecipadamente – nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias|01/01/2014|-
1021|Férias - abono ou gratificação de férias superior a 20 dias|Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT|01/01/2014|-
1022|Férias - abono ou gratificação de férias não excedente a 20 dias|Remuneração a título de abono de férias, desde que não excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo o art. 144 da CLT|01/01/2014|-
1023|Férias - abono pecuniário|Valor correspondente a conversão em dinheiro de parte dos dias de férias a que o trabalhador adquiriu direito, inclusive o adicional constitucional|01/01/2014|-
1024|Férias - o dobro na vigência do contrato|Valor correspondente a remuneração a que faz jus na época da concessão das férias, concedidas após o prazo de concessão, inclusive o adicional constitucional|01/01/2014|-
1040|Licença-prêmio|Valor relativo a licença-prêmio, em decorrência de afastamento do trabalho|01/01/2014|-
1041|Licença-prêmio indenizada|Valor correspondente à conversão em dinheiro da licença-prêmio|01/01/2014|-
1050|Remuneração de dias de afastamento|Remuneração de dias nos quais o trabalhador esteja afastado do trabalho sem prejuízo de sua remuneração|01/01/2014|-
1080|Stock Option|Remuneração pelo exercício de opção de compra de ações da empresa|01/01/2014|-
1099|Outras verbas salariais|Outras verbas salariais não previstas nos demais itens|01/01/2014|-
1201|Adicional de função / cargo confiança|Adicional ou gratificação concedida em virtude de cargo ou função de confiança|01/01/2014|-
1202|Adicional de insalubridade|Adicional por serviços em condições de insalubridade|01/01/2014|-
1203|Adicional de periculosidade|Adicional por serviços em condições perigosas|01/01/2014|-
1204|Adicional de transferência|Adicional em razão de transferência de trabalhador, enquanto durar a transferência|01/01/2014|-
1205|Adicional noturno|Adicional por trabalho em horário noturno|01/01/2014|-
1206|Adicional por tempo de serviço|Adicional em virtude do tempo de serviço (anuênio, quinquênio, etc.)|01/01/2014|-
1207|Comissões, porcentagens, produção|Valor correspondente a contraprestação de serviço, normalmente baseada em um percentual sobre as vendas totais desse trabalhador|01/01/2014|-
1208|Gueltas ou gorjetas - repassadas por fornecedores ou clientes|Valores pagos diretamente por fornecedores a trabalhador a título de incentivos de vendas (gueltas) ou por clientes a título de recompensa por bons serviços prestados (gorjetas)|01/01/2014|-
1209|Gueltas ou gorjetas - repassadas pelo empregador|Valores pagos relativos a gueltas ou gorjetas, por meio de repasse ao empregador|01/01/2014|-
1210|Gratificação por acordo ou convenção coletiva|Verba estabelecida em acordo ou convenção coletiva de trabalho|01/01/2014|-
