Códigos e Alíquotas de FPAS/Terceiros#6 55 9 16 7 7
CÓDIGO FPAS|<DESCRIÇÃO DE ATIVIDADES|BASE DE CÁLCULO|TERCEIROS|CÓDIGO DE TERCEIROS|ALÍQUOTA
507|INDÚSTRIA - TRANSPORTE FERROVIÁRIO e de CARRIS URBANOS (inclusive cabos aéreos) EMPRESA METROVIÁRIA - EMPRESA DE TELECOMUNICAÇÕES - OFICINA GRÁFICA DE EMPRESA JORNALÍSTICA - Oficinas mecânicas de manutenção e reparação de veículos e máquinas, inclusive de concessionárias - ESCRITÓRIO E DEPÓSITO DE EMPRESA INDUSTRIAL - INDÚSTRIA DA CONSTRUÇÃO CIVIL - ARMAZÉNS GERAIS - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado à indústria.<br /><br />INDÚSTRIA DE CARNES E DERIVADOS (frigorífico) de animal de qualquer espécie, inclusive o setor industrial das agroindústrias de piscicultura, carcinicultura, suinocultura e avicultura (exceto quanto aos empregados envolvidos diretamente com o abate - FPAS 531).<br /><br />SETOR INDUSTRIAL DA AGROINDÚSTRIA de florestamento e reflorestamento quando não aplicável a substituição, na forma do art. 22-A da Lei 8.212/1991.<br /><br />ESTALEIRO - setor de fabricação e desmontagem de embarcações navais.|##EMPRESAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SENAI##*##|0004|1,0%
^|^|^|+ SESI##*##|0008|1,5%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|##TOTAL##|##0079##|##5,8%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4163##|##5,8%##
515|COMÉRCIO ATACADISTA - COMÉRCIO VAREJISTA - AGENTE AUTÔNOMO DO COMÉRCIO - COMÉRCIO ARMAZENADOR - TURISMO E HOSPITALIDADE (inclusive salão de barbeiro, instituto de beleza, empresa de compra, venda, locação e administração de imóvel, engraxate, empresa de asseio e conservação, sociedade beneficente e religiosa etc.) - ESTABELECIMENTO DE SERVIÇO DE SAÚDE (hospital, clínica, casa de saúde, laboratório de pesquisas e análises clínicas, cooperativa de serviço médico, banco de sangue, estabelecimento de ducha, massagem e fisioterapia e empresa de prótese) - COMÉRCIO TRANSPORTADOR, REVENDEDOR, RETALHISTA DE ÓLEO DIESEL, ÓLEO COMBUSTÍVEL E QUEROSENE (exceto quanto aos empregados envolvidos diretamente na atividade de transporte - Decreto 1.092/1994 - FPAS 612) - EMPRESA E SERVIÇOS DE PROCESSAMENTO DE DADOS - ESCRITÓRIO, CONSULTÓRIO OU LABORATÓRIO DE PROFISSIONAIS LIBERAIS (pessoa jurídica) - CONSÓRCIO - AUTOESCOLA - CURSO LIVRE - LOCAÇÕES DIVERSAS - PARTIDO POLÍTICO - EMPRESA DE TRABALHO TEMPORÁRIO (contribuição sobre a folha de salário de seus empregados) - SOCIEDADE COOPERATIVA (estabelecimento no qual explora atividade econômica relacionada neste código) - TOMADOR DE SERVIÇO DE TRABALHADOR AVULSO - contribuição sobre a remuneração de trabalhador avulso vinculado ao comércio - EMPRESAS DE __FACTORING__.|##EMPRESAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SENAC|0016|1,0%
^|^|^|+ SESC|0032|1,5%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|##TOTAL##|##0115##|##5,8%##
^|^|##COOPERATIVAS##|>|>|>
^|^|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
^|^|^|+ SEBRAE|0064|0,6%
^|^|^|+ SESCOOP|4096|2,5%
^|^|^|##TOTAL##|##4163##|##5,8%##
523|SINDICATO OU ASSOCIAÇÃO PROFISSIONAL DE EMPREGADO, TRABALHADOR AVULSO OU EMPREGADOR, PERTENCENTE A ATIVIDADE OUTRORA NÃO VINCULADA AO ex-IAPC - EMPRESA BRASILEIRA DE NAVEGAÇÃO (exclusivamente em relação aos tripulantes de embarcação inscrita no Registro Especial Brasileiro - REB, Lei 9.432/1997 e Decreto 2.256/1997), PESSOAS JURÍDICAS DE DIREITO PRIVADO CONSTITUÍDAS SOB A FORMA DE SERVIÇO SOCIAL AUTÔNOMO.|Remuneração dos segurados|SALÁRIO EDUCAÇÃO|0001|2,5%
^|^|^|+ INCRA|0002|0,2%
