Países
CÓDIGO|<NOME|DATA DE CRIAÇÃO *|DATA DE EXTINÇÃO **
008|Abu Dhabi|-|13/12/1996
009|Dirce|-|13/12/1996
013|Afeganistão|-|-
015|Aland, Ilhas|07/12/2015|15/01/2023
017|Albânia, República da|-|-
020|Alboran-Perejil, Ilhas|-|13/12/1996
023|Alemanha|-|-
025|Alemanha, República Democrática|-|13/12/1996
031|Burkina Faso|-|-
037|Andorra|-|-
040|Angola|-|-
041|Anguilla|-|15/01/2023
042|Antártica|-|15/01/2023
043|Antígua e Barbuda|-|-
047|Antilhas Holandesas|-|30/04/2018
053|Arábia Saudita|-|-
059|Argélia|-|-
063|Argentina|-|-
064|Armênia, República da|-|-
065|Aruba|-|15/01/2023
069|Austrália|-|-
072|Áustria|-|-
073|Azerbaijão, República do|-|-
077|Bahamas, Ilhas|-|-
080|Bahrein, Ilhas|-|-
081|Bangladesh|-|-
083|Barbados|-|-
085|Belarus, República da|-|-
087|Bélgica|-|-
088|Belize|-|-
090|Bermudas|-|15/01/2023
093|Mianmar (Birmânia)|-|-
097|Bolívia, Estado Plurinacional da|-|-
098|Bósnia-Herzegovina, República da|-|-
099|Bonaire, Saint Eustatius e Saba|07/12/2015|15/01/2023
100|Int. Z. F. Manaus|01/12/1991|13/12/1996
101|Botsuana|-|-
102|Bouvet, Ilha|07/12/2015|15/01/2023
105|Brasil|-|-
106|Fretado p/ Brasil|01/12/1991|14/11/1996
108|Brunei|-|-
111|Bulgária, República da|-|-
115|Burundi|-|-
119|Butão|-|-
127|Cabo Verde, República de|-|-
131|Cachemira|-|13/12/1996
137|Cayman, Ilhas|-|15/01/2023
141|Camboja|-|-
145|Camarões|-|-
149|Canadá|-|-
150|Ilhas do Canal (Jersey e Guernsey)|-|30/04/2018
151|Canárias, Ilhas|-|30/04/2018
152|Canal, Ilhas|-|13/12/1996
153|Cazaquistão, República do|-|-
154|Catar|-|-
158|Chile|-|-
160|China, República Popular da|-|-
161|Formosa (Taiwan)|-|15/01/2023
163|Chipre|-|-
165|Cocos (Keeling), Ilhas|-|15/01/2023
169|Colômbia|-|-
173|Comores, Ilhas|-|-
177|Congo|-|-
183|Cook, Ilhas|-|-
187|Coreia (do Norte), República Popular Democrática da|-|-
190|Coreia (do Sul), República da|-|-
193|Costa do Marfim|-|-
195|Croácia, República da|-|-
196|Costa Rica|-|-
198|Kuwait|-|-
199|Cuba|-|-
200|Curaçao|07/12/2015|15/01/2023
229|Benim|-|-
232|Dinamarca|-|-
235|Dominica, Ilha|-|-
237|Dubai|-|13/12/1996
239|Equador|-|-
