Classificação Tributária
CÓDIGO|<DESCRIÇÃO
01|Empresa enquadrada no regime de tributação Simples Nacional com tributação previdenciária substituída
02|Empresa enquadrada no regime de tributação Simples Nacional com tributação previdenciária não substituída
03|Empresa enquadrada no regime de tributação Simples Nacional com tributação previdenciária substituída e não substituída
04|Microempreendedor Individual - MEI
06|Agroindústria
07|Produtor rural Pessoa Jurídica
09|Órgão Gestor de Mão de Obra - OGMO
10|Entidade sindical a que se refere a Lei 12.023/2009
11|Associação desportiva que mantém clube de futebol profissional
13|Banco, caixa econômica, sociedade de crédito, financiamento e investimento e demais empresas relacionadas no parágrafo 1º do art. 22 da Lei 8.212/1991
14|Sindicatos em geral, exceto aquele classificado no código [10]
21|Pessoa Física, exceto segurado especial
22|Segurado especial, inclusive quando for empregador doméstico
60|Missão diplomática ou repartição consular de carreira estrangeira
70|Empresa de que trata o Decreto 5.436/2005
80|Entidade beneficente de assistência social isenta de contribuições sociais
85|Administração direta da União, Estados, Distrito Federal e Municípíos; autarquias e fundações públicas
99|Pessoas Jurídicas em geral
