Tipos de Lotação Tributária
CÓDIGO|DESCRIÇÃO|PREENCHIMENTO DO CAMPO {nrInsc}
01|Classificação da atividade econômica exercida pela Pessoa Jurídica para fins de atribuição de código FPAS, inclusive obras de construção civil própria, exceto: a) empreitada parcial ou sub-empreitada de obra de construção civil (utilizar opção 02); b) prestação de serviços em instalações de terceiros (utilizar opções 03 a 09); c) Embarcação inscrita no Registro Especial Brasileiro - REB (utilizar opção 10)|Não preencher
02|Obra de construção civil - Empreitada parcial ou subempreitada|CNO da obra - A informação do CNPJ/CPF do contratante é prestada no grupo {infoEmprParcial}
03|Pessoa Física tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa|CPF do contratante
04|Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991|CNPJ do estabelecimento contratante
05|Pessoa Jurídica tomadora de serviços prestados por cooperados por intermédio de cooperativa de trabalho, exceto aqueles prestados a entidade beneficente/isenta|CNPJ do estabelecimento contratante
06|Entidade beneficente/isenta tomadora de serviços prestados por cooperados por intermédio de cooperativa de trabalho|CNPJ do estabelecimento contratante
07|Pessoa Física tomadora de serviços prestados por cooperados por intermédio de cooperativa de trabalho|CPF do contratante
08|Operador portuário tomador de serviços de trabalhadores avulsos|CNPJ do operador portuário
09|Contratante de trabalhadores avulsos não portuários por intermédio de sindicato|CNPJ ou CPF do contratante
10|Embarcação inscrita no Registro Especial Brasileiro - REB|Não preencher
21|Classificação da atividade econômica ou obra própria de construção civil da Pessoa Física|Não preencher
24|Empregador doméstico|Não preencher
90|Atividades desenvolvidas no exterior por trabalhador vinculado ao Regime Geral de Previdência Social (expatriados)|Não preencher
91|Atividades desenvolvidas por trabalhador estrangeiro vinculado a Regime de Previdência Social no exterior|Não preencher
