Agente Causador / Situação Geradora de Doença Profissional
CÓDIGO|DESCRIÇÃO
200004300|Impacto de pessoa contra objeto parado.<br />Aplica-se a casos em que a lesão foi produzida por impacto da pessoa acidentada contra a fonte da lesão, tendo sido o movimento que produziu o contato originalmente o da pessoa, e não o da fonte da lesão, exceto quando o movimento do acidentado tiver sido provocado por queda.<br />Inclui casos de alguém chocar-se contra alguma coisa, tropeçar em alguma coisa, ser empurrado ou projetado contra alguma coisa, etc. Não inclui casos de salto para nível inferior.
200004600|Impacto de pessoa contra objeto em movimento.<br />Aplica-se a casos em que a lesão foi produzida por impacto da pessoa acidentada contra a fonte da lesão, tendo sido o movimento que produziu o contato originalmente o da pessoa, e não o da fonte da lesão, exceto quando o movimento do acidentado tiver sido provocado por queda.<br />Inclui casos de alguém chocar-se contra alguma coisa, tropeçar em alguma coisa, ser empurrado ou projetado contra alguma coisa, etc. Não inclui casos de salto para nível inferior.
200008300|Impacto sofrido por pessoa, de objeto que cai.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido da fonte da lesão, e não do acidentado, o movimento que originou o contato.
200008600|Impacto sofrido por pessoa, de objeto projetado.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido da fonte da lesão, e não do acidentado, o movimento que originou o contato.
200008900|Impacto sofrido por pessoa, NIC.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido da fonte da lesão, e não do acidentado, o movimento que originou o contato.
200012200|Queda de pessoa com diferença de nível de andaime, passagem, plataforma, etc.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200012300|Queda de pessoa com diferença de nível de escada móvel ou fixada cujos degraus não permitem o apoio integral do pé.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200012400|Queda de pessoa com diferença de nível de material empilhado.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200012500|Queda de pessoa com diferença de nível de veículo.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200012600|Queda de pessoa com diferença de nível em escada permanente cujos degraus permitem apoio integral do pé.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200012700|Queda de pessoa com diferença de nível em poço, escavação, abertura no piso, etc. (da borda da abertura).<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200012900|Queda de pessoa com diferença de nível, NIC.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e a fonte da lesão, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade.<br />2) O ponto de contato com a fonte da lesão estava abaixo da superfície que suportava o acidentado no início da queda.<br />Inclui salto para nível inferior.
200016300|Queda de pessoa em mesmo nível em passagem ou superfície de sustentação.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e um objeto externo, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade, com perda do equilíbrio e impossibilidade de manter-se de pé.<br />2) O ponto de contato com a fonte da lesão estava, no momento do início da queda, ao nível ou acima da superfície que suportava o acidentado.
200016600|Queda de pessoa em mesmo nível sobre ou contra alguma coisa.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e um objeto externo, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade, com perda do equilíbrio e impossibilidade de manter-se de pé.<br />2) O ponto de contato com a fonte da lesão estava, no momento do início da queda, ao nível ou acima da superfície que suportava o acidentado.
200016900|Queda de pessoa em mesmo nível, NIC.<br />Aplica-se a casos em que a lesão foi produzida por impacto entre o acidentado e um objeto externo, tendo sido do acidentado o movimento que produziu o contato, nas seguintes circunstâncias:<br />1) O movimento do acidentado foi devido à ação da gravidade, com perda do equilíbrio e impossibilidade de manter-se de pé.<br />2) O ponto de contato com a fonte da lesão estava, no momento do início da queda, ao nível ou acima da superfície que suportava o acidentado.
200020100|Aprisionamento em, sob ou entre objetos em movimento convergente (calandra) ou de encaixe.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto.<br />Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre.
200020300|Aprisionamento em, sob ou entre um objeto parado e outro em movimento.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto.<br />Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre.
200020500|Aprisionamento em, sob ou entre dois ou mais objetos em movimento (sem encaixe).<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto.<br />Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre.
200020700|Aprisionamento em, sob ou entre desabamento ou desmoronamento de edificação, barreira, etc.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto.<br />Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre.
200020900|Aprisionamento em, sob ou entre, NIC.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por compressão, pinçamento ou esmagamento entre um objeto em movimento e outro parado, entre dois objetos em movimento ou entre partes de um mesmo objeto.<br />Não se aplica quando a fonte da lesão for um objeto livremente projetado ou em queda livre.
200024300|Atrito ou abrasão por encostar, pisar, ajoelhar ou sentar em objeto (não em vibração).<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão.
200024400|Atrito ou abrasão por manusear objeto (não em vibração). <br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão.
200024500|Atrito ou abrasão por objeto em vibração.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão.
200024600|Atrito ou abrasão por corpo estranho no olho.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão.
200024700|Atrito ou abrasão por compressão repetitiva.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão.
200024900|Atrito ou abrasão, NIC.<br />Aplica-se a casos, sem impacto, em que a lesão foi produzida por pressão, vibração ou atrito entre o acidentado e a fonte da lesão.
200028300|Reação do corpo a seus movimentos - movimento involuntário (escorregão sem queda, etc.).<br />Aplica-se a casos, sem impacto, em que a lesão foi causada exclusivamente por movimento livre do corpo humano que causou tensão ou torção em alguma parte do corpo. Geralmente aplica-se à ocorrência de torções, distensões, rupturas ou outras lesões internas, resultantes da adoção de uma posição forçada ou de movimentos involuntários provocados por sustos ou esforços de recuperação da posição normal em casos de escorregão ou perda de equilíbrio.<br />Inclui casos de lesão muscular ou interna resultantes de movimentos individuais como andar, subir, correr, tentar alcançar algo, voltar-se, curvar-se, etc., quando tais movimentos forem a própria fonte da lesão.<br />Não se aplica a esforço excessivo ao erguer, puxar ou empurrar objetos ou a casos em que o movimento do corpo, voluntário ou involuntário, tenha tido por resultado contato violento com algum objeto.
200028600|Reação do corpo a seus movimentos - movimento voluntário.<br />Aplica-se a casos, sem impacto, em que a lesão foi causada exclusivamente por movimento livre do corpo humano que causou tensão ou torção em alguma parte do corpo. Geralmente aplica-se à ocorrência de torções, distensões, rupturas ou outras lesões internas, resultantes da adoção de uma posição forçada ou de movimentos involuntários provocados por sustos ou esforços de recuperação da posição normal em casos de escorregão ou perda de equilíbrio.<br />Inclui casos de lesão muscular ou interna resultantes de movimentos individuais como andar, subir, correr, tentar alcançar algo, voltar-se, curvar-se, etc., quando tais movimentos forem a própria fonte da lesão.<br />Não se aplica a esforço excessivo ao erguer, puxar ou empurrar objetos ou a casos em que o movimento do corpo, voluntário ou involuntário, tenha tido por resultado contato violento com algum objeto.
200032200|Esforço excessivo ao erguer objeto.<br />Ver explicações do código 200028600.
200032400|Esforço excessivo ao empurrar ou puxar objeto.<br />Ver explicações do código 200028600.
200032600|Esforço excessivo ao manejar, sacudir ou arremessar objeto.<br />Ver explicações do código 200028600.
200032900|Esforço excessivo, NIC.<br />Ver explicações do código 200028600.
200036000|Exposição à energia elétrica.<br />Aplica-se somente a casos sem impacto, em que a lesão consiste em choque elétrico, queimadura ou eletroplessão (eletrocussão).
200040300|Contato com objeto ou substância a temperatura muito alta.<br />Aplica-se somente a casos, sem impacto, em que a lesão consiste em queimadura, geladura, etc., resultante queimadura, geladura, etc., resultante de contato com objetos, ar, gases, vapores ou líquidos quentes ou frios.<br />Não se aplica a casos em que a lesão foi provocada pelas características tóxicas ou cáusticas de produtos químicos ou a queimadura por descarga elétrica.
