Relacionamento entre Tipo de Valor do FGTS, Categoria, Origem, Código de Incidência do FGTS e Condição#12 27 9 11 41
TIPO DE VALOR ({tpValor} OU {tpValorE})|{codCateg}|ORIGEM|{codIncFGTS} EM S-1010|CONDIÇÃO
11|[101, 102, 104, 105, 106, 111, 201, 202, 301, 302, 303, 304, 306, 307, 309, 310, 312, 721] ou ([401, 410], se {categOrig} for diferente de [103, 107, 108])|{infoPerApur} de S-1200|[11, 21, 91, 93]|-
^|[101, 102, 104, 105, 106, 111, 301, 302, 303, 304, 306, 307, 309, 310, 312]|{infoPerApur} de S-2299|[11, 21, 91, 93]|{mtvDeslig} diferente de [02, 03, 05, 06, 14, 17, 23, 26, 27, 33, 47, 48, 49]
^|^|^|[11, 91]|{mtvDeslig} = [02, 03, 05, 06, 14, 17, 23, 26, 27, 33, 47, 48, 49] e {dtDeslig} acrescida de 10 dias posterior a {dtVenc}, se {perApur} for anterior ao início do FGTS Digital
^|[721]|S-2399|[11, 21, 91, 93]|{mtvDesligTSV} diferente de [01, 02, 04, 06]
^|^|^|[11, 91]|{mtvDesligTSV} = [01, 02, 04, 06] e {dtTerm} acrescida de 10 dias posterior a {dtVenc}, se {perApur} for anterior ao início do FGTS Digital
12|[101, 102, 104, 105, 106, 111, 201, 202, 301, 302, 303, 304, 306, 307, 309, 310, 312, 721] ou ([401, 410], se {categOrig} for diferente de [103, 107, 108])|{infoPerApur} de S-1200|[12, 92]|-
^|[101, 102, 104, 105, 106, 111, 301, 302, 303, 304, 306, 307, 309, 310, 312]|{infoPerApur} de S-2299|[12, 92]|{mtvDeslig} diferente de [02, 03, 05, 06, 14, 17, 23, 26, 27, 33, 47, 48, 49]
^|[721]|S-2399|[12, 92]|{mtvDesligTSV} diferente de [01, 02, 04, 06]
13|[101, 102, 104, 105, 106, 111, 201, 202, 301, 302, 303, 304, 306, 307, 309, 310, 312, 721] ou ([401, 410], se {categOrig} for diferente de [103, 107, 108])|{infoPerAnt} de S-1200|[11, 21, 91, 93]|-
^|[101, 102, 104, 105, 106, 111, 301, 302, 303, 304, 306, 307, 309, 310, 312]|{infoPerAnt} de S-2299|[11, 21, 91, 93]|{mtvDeslig} diferente de [02, 03, 05, 06, 14, 17, 23, 26, 27, 33, 47, 48, 49]
