Treinamentos, Capacitações, Exercícios Simulados e Outras Anotações
CÓDIGO|TREINAMENTO/CAPACITAÇÃO/EXERCÍCIO SIMULADO
TREINAMENTOS, CAPACITAÇÕES E EXERCÍCIOS SIMULADOS - REGISTRO OBRIGATÓRIO|>
3701|Treinamento antes do primeiro embarque
3702|Treinamento antes do primeiro embarque - Reciclagem
3703|Treinamento eventual
3704|Treinamento básico
3705|Treinamento básico - Reciclagem
3706|Treinamento avançado
3707|Treinamento avançado - Reciclagem
3708|Treinamento específico - Empregado integrante da brigada de incêndio
3709|Treinamento específico - Riscos radiológicos da plataforma
3710|Treinamento específico - Empregado integrante de equipe de resposta a emergências
3711|Treinamento - Sinaleiro (reciclagem)
3712|Treinamento - Operador de guindaste (reciclagem)
3713|Treinamento - Curso Básico para Manipulador de Alimentos
3714|Treinamento - Curso complementar para serviços em instalações elétricas em alta tensão
3715|Treinamento - Curso básico de segurança em operações de movimentação de cargas e transporte de pessoas
3716|Treinamento - Curso complementar para operadores de guindastes
3717|Treinamento - Curso para indivíduos ocupacionalmente expostos à radiação ionizante
3718|Treinamento - Procedimento operacional - Acendimento da chama piloto
OUTRAS ANOTAÇÕES - REGISTRO OBRIGATÓRIO|>
1006|Autorização para trabalhar em instalações elétricas
1207|Operação e realização de intervenções em máquinas
3719|Operador do equipamento de guindar
