Códigos de Receita - Reclamatória Trabalhista#11 75 14
CÓDIGO DE RECEITA (CR)|<DESCRIÇÃO|ALÍQUOTA (%)
113851|CP patronal a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|20
164651|CP GILRAT a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|Variável (RAT X FAP)
114151|CP para financiamento de aposentadoria especial a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|6, 9 ou 12
113852|CP adicional a cargo das instituiçoes financeiras sobre a remuneração do segurado empregado ou trabalhador avulso |2,5
113854|CP patronal a cargo da empresa sobre a remuneração do segurado contribuinte individual|20
114155|CP para financiamento de aposentadoria especial a cargo da empresa sobre a remuneração do segurado contribuinte individual|6, 9 ou 12
113855|CP adicional a cargo das instituiçoes financeiras sobre a remuneração do segurado contribuinte individual|2,5
113858|CP patronal a cargo do empregador doméstico sobre a remuneração do segurado empregado doméstico|8
164659|CP GILRAT a cargo do empregador doméstico sobre a remuneração do segurado empregado doméstico|0,8
113857|CP patronal a cargo do Microempreendedor - MEI sobre a remuneração do segurado empregado|3
113853|CP patronal a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso|20
164652|CP GILRAT a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso|Variável (RAT X FAP)
114152|CP adicional GILRAT a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado empregado ou trabalhador avulso|6, 9 ou 12
113856|CP patronal a cargo da empresa SIMPLES com atividade concomitante sobre a remuneração do segurado contribuinte individual|20
117051|Salário-Educação a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|2,5
117651|Incra a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|0,2
117652|Incra (FPAS 531/795/825) a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|2,7
118151|Senai a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|1
118451|Sesi a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|1,5
119151|Senac a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|1
119651|Sesc a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|1,5
120051|Sebrae a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|0,6
120052|Sebrae (FPAS 566/574/647) a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|0,3
120551|FDEPM a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|2,5
120951|Fundo Aeroviário a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|2,5
121353|Senar a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|2,5
121851|Sest a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|1,5
121852|Sest a cargo do trabalhador (descontado pela empresa) sobre a remuneração do segurado transportador autônomo|1,5
122151|Senat a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|1
122152|Senat a cargo do trabalhador (descontado pela empresa) sobre a remuneração do segurado transportador autônomo|1
122551|Sescoop a cargo da empresa sobre a remuneração do segurado empregado ou trabalhador avulso|2,5
108251|CP do segurado empregado e trabalhador avulso|Variável
108252|CP do segurado empregado contratado por curto prazo - Lei 11.718/2009|8
108253|CP do segurado empregado doméstico|Variável
108254|CP do segurado empregado contratado por curto prazo por empregador segurado especial - Lei 11.718/2009|8
108255|CP do segurado empregado contratado por empregador segurado especial|Variável
108257|CP do segurado empregado contratado por empregador MEI|Variável
109951|CP do segurado contribuinte individual - 11%|11
109952|CP do segurado contribuinte individual - 20%|20
