Formas de Tributação para Rendimentos de Beneficiários no Exterior#6 94
CÓDIGO|<DESCRIÇÃO
10|Retenção do IRRF - Alíquota padrão
11|Retenção do IRRF - Alíquota da tabela progressiva
12|Retenção do IRRF - Alíquota diferenciada (países com tributação favorecida)
13|Retenção do IRRF - Alíquota limitada conforme cláusula em convênio
30|Retenção do IRRF - Outras hipóteses
40|Não retenção do IRRF - Isenção estabelecida em convênio
41|Não retenção do IRRF - Isenção prevista em lei interna
42|Não retenção do IRRF - Alíquota zero prevista em lei interna
43|Não retenção do IRRF - Pagamento antecipado do imposto
44|Não retenção do IRRF - Medida judicial
50|Não retenção do IRRF - Outras hipóteses
